Player,Score,Week,Year,Position,
Cincinnati (Cin),12,2,2018,DEF,
Cleveland (Cle),7,2,2018,DEF,
Dallas (Dal),12,2,2018,DEF,
Denver (Den),4,2,2018,DEF,
Detroit (Det),5,2,2018,DEF,
Green Bay (GB),11,2,2018,DEF,
Houston (Hou),2,2,2018,DEF,
Indianapolis (Ind),9,2,2018,DEF,
Jacksonville (Jax),5,2,2018,DEF,
Kansas City (KC),-3,2,2018,DEF,
Los Angeles (LAC),10,2,2018,DEF,
Los Angeles (LAR),13,2,2018,DEF,
Miami (Mia),13,2,2018,DEF,
Minnesota (Min),3,2,2018,DEF,
New England (NE),3,2,2018,DEF,
New Orleans (NO),6,2,2018,DEF,
New York (NYG),1,2,2018,DEF,
New York (NYJ),9,2,2018,DEF,
Oakland (Oak),4,2,2018,DEF,
Philadelphia (Phi),6,2,2018,DEF,
Pittsburgh (Pit),1,2,2018,DEF,
San Francisco (SF),4,2,2018,DEF,
Seattle (Sea),7,2,2018,DEF,
Tampa Bay (TB),7,2,2018,DEF,
Tennessee (Ten),7,2,2018,DEF,
Washington (Was),5,2,2018,DEF,
Arizona (Ari),8,3,2018,DEF,
Atlanta (Atl),-3,3,2018,DEF,
Baltimore (Bal),6,3,2018,DEF,
Buffalo (Buf),17,3,2018,DEF,
Carolina (Car),10,3,2018,DEF,
Chicago (Chi),13,3,2018,DEF,
Cincinnati (Cin),0,3,2018,DEF,
Cleveland (Cle),9,3,2018,DEF,
Dallas (Dal),2,3,2018,DEF,
Denver (Den),6,3,2018,DEF,
Detroit (Det),8,3,2018,DEF,
Green Bay (GB),1,3,2018,DEF,
Houston (Hou),4,3,2018,DEF,
Indianapolis (Ind),10,3,2018,DEF,
Jacksonville (Jax),7,3,2018,DEF,
Kansas City (KC),4,3,2018,DEF,
Los Angeles (LAC),1,3,2018,DEF,
Los Angeles (LAR),14,3,2018,DEF,
Miami (Mia),8,3,2018,DEF,
Minnesota (Min),3,3,2018,DEF,
New England (NE),3,3,2018,DEF,
New Orleans (NO),1,3,2018,DEF,
New York (NYG),7,3,2018,DEF,
New York (NYJ),6,3,2018,DEF,
Oakland (Oak),0,3,2018,DEF,
Philadelphia (Phi),3,3,2018,DEF,
Pittsburgh (Pit),17,3,2018,DEF,
San Francisco (SF),-2,3,2018,DEF,
Seattle (Sea),15,3,2018,DEF,
Tampa Bay (TB),5,3,2018,DEF,
Tennessee (Ten),12,3,2018,DEF,
Washington (Was),7,3,2018,DEF,
Arizona (Ari),3,4,2018,DEF,
Atlanta (Atl),3,4,2018,DEF,
Baltimore (Bal),6,4,2018,DEF,
Buffalo (Buf),6,4,2018,DEF,
Carolina (Car),,4,2018,DEF,
Chicago (Chi),14,4,2018,DEF,
Cincinnati (Cin),-1,4,2018,DEF,
Cleveland (Cle),3,4,2018,DEF,
Dallas (Dal),3,4,2018,DEF,
Denver (Den),1,4,2018,DEF,
Detroit (Det),3,4,2018,DEF,
Green Bay (GB),23,4,2018,DEF, 
Houston (Hou),13,4,2018,DEF,
