Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
13,Suh Girls One Kupp,Loss,66.16 - 91.20,66.16,Show Me Your TD's,2018
1,Thunder Horse,Loss,95.84 - 127.66,95.84,Steelers SIXcess,2018
2,SUCK MY DITKA!!,Loss,83.26 - 98.94,83.26,Steelers SIXcess,2018
3,Suh Girls One Kupp,Loss,83.70 - 99.58,83.7,Steelers SIXcess,2018
4,A bunch of Jerry's,Win,133.96 - 89.76,133.96,Steelers SIXcess,2018
5,Gronkey Kong,Win,82.58 - 77.20,82.58,Steelers SIXcess,2018
6,Admiral Ackbar's Ass,Win,134.10 - 72.52,134.1,Steelers SIXcess,2018
7,MR. T's Cereal,Win,98.98 - 89.64,98.98,Steelers SIXcess,2018
8,Daniel's Stormies,Win,81.46 - 53.74,81.46,Steelers SIXcess,2018
9,Cousin's Familia,Win,92.16 - 48.36,92.16,Steelers SIXcess,2018
10,Ridley Me That,Win,86.76 - 71.26,86.76,Steelers SIXcess,2018
11,Show Me Your TD's,Loss,79.38 - 102.42,79.38,Steelers SIXcess,2018
12,Thunder Horse,Win,113.62 - 108.14,113.62,Steelers SIXcess,2018
13,SUCK MY DITKA!!,Loss,90.40 - 95.10,90.4,Steelers SIXcess,2018
1,Show Me Your TD's,Win,87.32 - 76.04,87.32,SUCK MY DITKA!!,2018
2,Steelers SIXcess,Win,98.94 - 83.26,98.94,SUCK MY DITKA!!,2018
3,Thunder Horse,Win,100.48 - 89.86,100.48,SUCK MY DITKA!!,2018
4,Suh Girls One Kupp,Loss,100.28 - 127.28,100.28,SUCK MY DITKA!!,2018
5,A bunch of Jerry's,Loss,103.82 - 135.84,103.82,SUCK MY DITKA!!,2018
6,Gronkey Kong,Loss,113.18 - 124.36,113.18,SUCK MY DITKA!!,2018
7,Admiral Ackbar's Ass,Win,98.96 - 96.80,98.96,SUCK MY DITKA!!,2018
8,MR. T's Cereal,Win,140.62 - 120.42,140.62,SUCK MY DITKA!!,2018
9,Daniel's Stormies,Win,113.10 - 110.82,113.1,SUCK MY DITKA!!,2018
10,Cousin's Familia,Win,107.44 - 102.80,107.44,SUCK MY DITKA!!,2018
11,Ridley Me That,Loss,72.80 - 142.52,72.8,SUCK MY DITKA!!,2018
12,Show Me Your TD's,Win,89.82 - 86.22,89.82,SUCK MY DITKA!!,2018
13,Steelers SIXcess,Win,95.10 - 90.40,95.1,SUCK MY DITKA!!,2018
1,Ridley Me That,Win,92.84 - 77.34,92.84,Suh Girls One Kupp,2018
2,Show Me Your TD's,Loss,105.48 - 111.10,105.48,Suh Girls One Kupp,2018
3,Steelers SIXcess,Win,99.58 - 83.70,99.58,Suh Girls One Kupp,2018
4,SUCK MY DITKA!!,Win,127.28 - 100.28,127.28,Suh Girls One Kupp,2018
5,Thunder Horse,Win,132.12 - 107.00,132.12,Suh Girls One Kupp,2018
6,A bunch of Jerry's,Win,151.66 - 114.50,151.66,Suh Girls One Kupp,2018
7,Gronkey Kong,Win,89.98 - 88.86,89.98,Suh Girls One Kupp,2018
8,Admiral Ackbar's Ass,Win,82.70 - 64.80,82.7,Suh Girls One Kupp,2018
9,MR. T's Cereal,Loss,65.36 - 115.92,65.36,Suh Girls One Kupp,2018
10,Daniel's Stormies,Loss,127.92 - 133.90,127.92,Suh Girls One Kupp,2018
11,Cousin's Familia,Win,109.70 - 76.74,109.7,Suh Girls One Kupp,2018
12,Ridley Me That,Win,113.24 - 82.02,113.24,Suh Girls One Kupp,2018
13,Show Me Your TD's,Win,91.20 - 66.16,91.2,Suh Girls One Kupp,2018
1,Cousin's Familia,Win,136.38 - 111.66,136.38,A bunch of Jerry's,2018
2,Ridley Me That,Win,111.86 - 88.16,111.86,A bunch of Jerry's,2018
3,Show Me Your TD's,Loss,73.52 - 100.00,73.52,A bunch of Jerry's,2018
4,Steelers SIXcess,Loss,89.76 - 133.96,89.76,A bunch of Jerry's,2018
5,SUCK MY DITKA!!,Win,135.84 - 103.82,135.84,A bunch of Jerry's,2018
6,Suh Girls One Kupp,Loss,114.50 - 151.66,114.5,A bunch of Jerry's,2018
7,Thunder Horse,Loss,107.18 - 133.72,107.18,A bunch of Jerry's,2018
8,Gronkey Kong,Win,113.86 - 70.98,113.86,A bunch of Jerry's,2018
9,Admiral Ackbar's Ass,Loss,87.36 - 93.18,87.36,A bunch of Jerry's,2018
10,MR. T's Cereal,Loss,96.66 - 110.62,96.66,A bunch of Jerry's,2018
11,Daniel's Stormies,Loss,68.02 - 74.84,68.02,A bunch of Jerry's,2018
